iter	RMSE
497	6.631924266
498	6.631511375
499	6.631176464
500	6.627836407
501	6.624977413
502	6.622054821
503	6.618181969
504	6.610902122
505	6.609862987
506	6.602630471
507	6.598672615
508	6.5982589
509	6.593346399
510	6.592736385
511	6.589114788
512	6.588733357
513	6.587365982
514	6.584609417
515	6.583576754
516	6.580314767
517	6.57341738
518	6.572290963
519	6.568056898
520	6.562985771
521	6.559094827
522	6.55602856
523	6.555770476
524	6.553420522
525	6.553168009
526	6.552119333
527	6.54935873
528	6.548315977
529	6.547305773
530	6.544459969
531	6.54341773
532	6.540550093
533	6.535066564
534	6.529310415
535	6.525315562
536	6.522306222
537	6.521907977
538	6.518041726
539	6.515901324
540	6.509059686
541	6.508707363
542	6.508472238
543	6.506987501
544	6.50083394
545	6.497850703
546	6.496561947
547	6.492721471
548	6.489758683
549	6.488965428
550	6.484306708
551	6.484087544
552	6.481714456
553	6.47627672
554	6.473207141
555	6.4698107
556	6.461758973
557	6.461132461
558	6.456726538
559	6.452691536
560	6.450004349
561	6.447947491
562	6.445758852
563	6.445243998
564	6.44501263
565	6.444524586
566	6.439719899
567	6.433423993
568	6.431266049
569	6.431069235
570	6.428022498
571	6.425600633
572	6.420007731
573	6.414771244
574	6.414614687
575	6.41080265
576	6.410518316
577	6.403480986
578	6.399419348
579	6.396230625
580	6.39495888
581	6.394707616
582	6.394452221
583	6.38777658
584	6.384417253
585	6.38332272
586	6.383183073
587	6.378820085
588	6.373617188
589	6.373472872
590	6.367836401
591	6.365290902
592	6.360950731
593	6.359048126
594	6.355044346
595	6.353685711
596	6.348878298
597	6.345694594
598	6.34110702
599	6.337287462
600	6.333454575
601	6.333209026
602	6.331386342
603	6.328085521
604	6.320804685
605	6.317573816
606	6.310331471
607	6.308412075
608	6.302238516
609	6.299834261
610	6.298942339
611	6.294409304
612	6.291551561
613	6.290713004
614	6.288182802
615	6.286921904
616	6.283223927
617	6.280507539
618	6.280417307
619	6.276849852
620	6.27502831
621	6.273004595
622	6.268947385
623	6.268229857
624	6.268030843
625	6.267823758
626	6.267649721
627	6.263691836
628	6.260253199
629	6.257709513
630	6.255013159
631	6.250437388
632	6.247448464
633	6.247253345
634	6.246881495
635	6.246717612
636	6.242800724
637	6.238319261
638	6.235780789
639	6.235627607
640	6.2294612
641	6.223383893
642	6.216378647
643	6.215261548
644	6.214559341
645	6.213912563
646	6.213774296
647	6.212928428
648	6.208260036
649	6.203280488
650	6.198855127
651	6.195069146
652	6.193078381
653	6.192037595
654	6.189375525
655	6.189191953
656	6.189021915
657	6.188813731
658	6.18790007
659	6.186187533
660	6.183944951
661	6.183719214
662	6.182158804
663	6.182041243
664	6.178400524
665	6.176683668
666	6.174205335
667	6.171307102
668	6.170683637
669	6.170496186
670	6.168360382
671	6.166162393
672	6.16599985
673	6.162245635
674	6.160451512
675	6.160182207
676	6.154028722
677	6.149109152
678	6.143891486
679	6.143755674
680	6.143503769
681	6.137197281
682	6.136619349
683	6.136301712
684	6.1361551
685	6.134563312
686	6.132327078
687	6.131228474
688	6.131076305
689	6.129067343
690	6.126930857
691	6.125949733
692	6.12572819
693	6.121101666
694	6.117823833
695	6.112163106
696	6.11174047
697	6.10779794
698	6.107362259
699	6.106260467
700	6.102733886
701	6.101356355
702	6.099032513
703	6.096284402
704	6.090442857
705	6.088408011
706	6.087102201
707	6.083135566
708	6.08138832
709	6.079553396
710	6.075829915
711	6.071171348
712	6.066229432
713	6.063618177
714	6.06255413
715	6.055324335
716	6.052899522
717	6.047407483
718	6.044063679
719	6.043814267
720	6.04199948
721	6.039884825
722	6.039730418
723	6.039087053
724	6.0335042
725	6.031517375
726	6.028380827
727	6.026327352
728	6.02436126
729	6.022194335
730	6.018015964
731	6.015881106
732	6.008752872
733	6.005413155
734	6.004791818
735	6.000955413
736	6.000892925
737	5.999302808
738	5.999158943
739	5.996440835
740	5.991805651
741	5.990674585
742	5.986874112
743	5.984610935
744	5.980628964
745	5.979060317
746	5.978903026
747	5.978782329
748	5.975469268
749	5.975099635
750	5.974983704
751	5.97385801
752	5.970792971
753	5.966873488
754	5.966300356
755	5.964194795
756	5.957391553
757	5.957250097
758	5.952094519
759	5.947530551
760	5.945717032
761	5.943867424
762	5.940833522
763	5.937986612
764	5.937860548
765	5.937807271
766	5.934911525
767	5.93149418
768	5.929786459
769	5.929680603
770	5.926231799
771	5.921983521
772	5.919187266
773	5.916095344
774	5.914199893
775	5.913520068
776	5.91193315
777	5.911845724
778	5.911725076
779	5.910182975
780	5.908037663
781	5.906962125
782	5.904438541
783	5.904349699
784	5.902683672
785	5.902589878
786	5.897759811
787	5.893966904
788	5.892428477
789	5.88895065
790	5.888089627
791	5.886793565
792	5.880298885
793	5.879985773
794	5.879643395
795	5.876697862
796	5.876194283
797	5.873730676
798	5.868999658
799	5.867674983
800	5.86554339
801	5.863138791
802	5.859672161
803	5.855826043
804	5.849812638
805	5.846911459
806	5.846515198
807	5.842458596
808	5.841556884
809	5.841095015
810	5.838808582
811	5.837526945
812	5.834499916
813	5.83074923
814	5.826282734
815	5.826170182
816	5.823059781
817	5.820381255
818	5.819055633
819	5.817484944
820	5.817435729
821	5.813546834
822	5.813381519
823	5.812420776
824	5.810642281
825	5.807119905
826	5.806696228
827	5.802933557
828	5.802825796
829	5.801259827
830	5.799341769
831	5.798667039
832	5.796883153
833	5.795777715
834	5.793676114
835	5.793588299
836	5.790259168
837	5.789619072
838	5.787896261
839	5.784337005
840	5.783068096
841	5.781698313
842	5.776281865
843	5.776145658
844	5.776069515
845	5.771001104
846	5.770920774
847	5.76868736
848	5.764635633
849	5.761531842
850	5.761410366
851	5.760926975
852	5.759648673
853	5.754294653
854	5.754141483
855	5.753824243
856	5.75268867
857	5.751226151
858	5.75105823
859	5.74565649
860	5.745136282
861	5.744260105
862	5.740244501
863	5.740147599
864	5.734383732
865	5.73408575
866	5.728991101
867	5.728831487
868	5.728730573
869	5.728610509
870	5.726091165
871	5.724552141
872	5.72434101
873	5.723093247
874	5.723056099
875	5.720050669
876	5.715459713
877	5.715411226
878	5.71423375
879	5.714189478
880	5.712827141
881	5.710114573
882	5.706905231
883	5.702229654
884	5.69865629
885	5.697129223
886	5.695219029
887	5.693216278
888	5.690905913
889	5.684937389
890	5.684764108
891	5.681567291
892	5.680382973
893	5.679923618
894	5.679880123
895	5.679365066
896	5.679280333
897	5.677215174
898	5.677074234
899	5.673200758
900	5.672637177
901	5.669455943
902	5.668192069
903	5.667623586
904	5.66297606
905	5.660775304
906	5.65862921
907	5.657349604
908	5.655186154
909	5.653215025
910	5.653030534
911	5.652918599
912	5.6506238
913	5.646131514
914	5.643884316
915	5.642793119
916	5.63886881
917	5.636213239
918	5.633746753
919	5.630727979
920	5.630634318
921	5.630596109
922	5.628693159
923	5.626516406
924	5.622374532
925	5.620068854
926	5.619352864
927	5.618787795
928	5.614493183
929	5.612078648
930	5.610477291
931	5.606481475
932	5.606398403
933	5.604082468
934	5.603491975
935	5.603413483
936	5.600397628
937	5.597417466
938	5.597337562
939	5.596111996
940	5.595273325
941	5.595192008
942	5.594136309
943	5.593966626
944	5.593103331
945	5.589983959
946	5.589931214
947	5.586896569
948	5.585026669
949	5.58494819
950	5.584452515
951	5.584376119
952	5.584151837
953	5.583108151
954	5.581166587
955	5.58105056
956	5.580150264
957	5.580117676
958	5.57916618
959	5.574660843
960	5.57457592
961	5.574502424
962	5.57238343
963	5.570406447
964	5.566479224
965	5.562928156
966	5.560353356
967	5.557675746
968	5.555142287
969	5.552139822
970	5.548211653
971	5.54519821
972	5.545061561
973	5.544977671
974	5.544881065
975	5.542907944
976	5.542850968
977	5.541372977
978	5.537866253
979	5.534738677
980	5.532242282
981	5.530528909
982	5.52935793
983	5.527269099
984	5.526832256
985	5.526714448
986	5.522543158
987	5.520840416
988	5.519551589
989	5.5181723
990	5.516997413
991	5.514827794
992	5.513376631
993	5.51330964
994	5.511982415
995	5.510735277
996	5.509350131
997	5.509261457
998	5.505504199
999	5.504648853
